episode,episodeTitle,Chef Anthony,Chef Brandon,Chef Brittany,Chef Duyen,Chef Jassi,Chef Jennifer,Chef Jonathan,Chef Justin,Chef Laurence,Chef Nana,Chef Oscar,Chef Rhoda,Chef Sherry,Chef Sieger
1,Carolina Roots,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Puckerbutt,4,1,4,1,-5,4,4,-2,4,-1,5,8,1,4
3,True Colors,7,4,-2,-1,0,-2,-2,-2,8,-5,-2,-1,-2,-2
4,Pick a Side,-2,1,-5,1,,1,1,4,4,1,1,1,4,14
5,Cut and Dry,8,4,,4,,1,2,1,-2,,-2,-4,4,2
6,Going Whole Hog,4,4,,4,,1,-2,-2,8,1,1,,4,-5
7,Desserts Fit for a Queen,14,4,,-2,,1,4,-5,4,,-2,1,4,
8,Restaurant Wars,1,-5,,8,,,1,,4,,1,7,4,-2
